Symbol,Name,Industry,Cur_Month,Accum,%MoM,%YoY,%YoY_Accum,profitMargins,bookValue,priceToBook,trailingEps,forwardEps,trailingPE,forwardPE
8996,高力 ,電機機械類,324381,324381,17.8478786865949,0.983117647241947,0.983117647241947,0.14816,27.408,10.799767,7.17,8.19,41.283123,36.14164
9802,鈺齊-KY ,,,,,,,0.08861,65.001,1.907663,7.85,15.56,15.796179,7.9691515
9902,台火 ,其他類,1624,1624,-98.7083432752724,-92.2076675783312,-92.2076675783312,0.102110006,12.611,1.0268812,0.21,,61.666668,
9904,寶成 ,運動休閒類,23110700,23110700,15.3070542329878,-6.81578538748843,-6.81578538748843,0.03136,40.936,0.7487297,2.64,4.23,11.609848,7.245863
9905,大華 ,其他類,751019,751019,29.7650292957445,30.8042253398473,30.8042253398473,0.052610002,24.734,0.9703243,1.48,1.61,16.216215,14.906832
9906,欣巴巴 ,建材營造類,66811,66811,53.116835495256,-73.3174382568133,-73.3174382568133,0.13748,18.354,3.8247793,6.42,,10.934579,
9907,統一實 ,其他類,3396124,3396124,8.49161904092566,50.0170728744492,50.0170728744492,0.02044,12.275,1.2545825,0.47,0.94,32.765957,16.382978
9908,大台北 ,油電燃氣類,313749,313749,-26.2632814648213,2.1112275517311,2.1112275517311,0.32942,25.9,1.2490348,2.21,,14.638008,
9910,豐泰 ,運動休閒類,7411390,7411390,0.588379158739409,16.4533973659757,16.4533973659757,0.06201,23.184,7.1601105,5.41,7.28,30.68392,22.802197
9911,櫻花 ,居家生活類,930963,930963,13.3841207205232,32.2922424781553,32.2922424781553,0.12189,25.914,2.8864708,4.51,5.17,16.585365,14.468085
9912,偉聯 ,電腦及週邊設備業類,40412,40412,6.47906621347456,-11.7545583578993,-11.7545583578993,-0.04621,8.017,1.6090807,-0.47,,,
9914,美利達 ,運動休閒類,1573421,1573421,2.99097940927928,-31.1215989171518,-31.1215989171518,0.06938,71.831,2.853921,7.64,9.75,26.83246,21.02564
9917,中保科 ,其他類,1441092,1441092,-4.04151853758223,10.7907618242945,10.7907618242945,0.15560001,26.819,4.418509,5.85,6.82,20.25641,17.375366
9918,欣天然 ,油電燃氣類,272975,272975,61.5772090160053,22.1621549050583,22.1621549050583,0.16375,17.324,2.332025,1.77,,22.82486,
9919,康那香 ,其他類,289070,289070,22.6853521999499,8.12822622877235,8.12822622877235,0.21205999,15.882,1.4828107,3.34,,7.050898,
9921,巨大 ,運動休閒類,4794919,4794919,15.0145035858986,-17.7310509705498,-17.7310509705498,0.04003,86.022,2.3366115,8.14,10.09,24.692873,19.920713
9924,福興 ,居家生活類,761542,761542,-8.69731502185029,7.7291966094406,7.7291966094406,0.09849,36.083,1.4134079,4.44,,11.486486,
9925,新保 ,其他類,659591,659591,5.15851315695074,7.06811806872192,7.06811806872192,0.11936,27.995,1.4323986,2.4,,16.708332,
9926,新海 ,油電燃氣類,252064,252064,18.4416658443639,7.40890671007385,7.40890671007385,0.20493001,21.298,2.5683162,2.57,,21.284048,
9927,泰銘 ,其他類,869096,869096,25.3095987507912,56.8935263746976,56.8935263746976,0.11303,37.335,2.0409803,5.81,,13.115318,
9928,中視 ,其他類,84301,84301,-34.7283088406089,-0.815351671882721,-0.815351671882721,-0.014780001,6.349,2.8508427,-0.22,,,
9929,秋雨 ,其他類,60270,60270,-7.93272535630814,10.8393408856849,10.8393408856849,0.049879998,9.165,1.8112384,0.32,,51.875004,
9930,中聯資源 ,綠能環保類,1052048,1052048,-0.690040571742508,19.9719013994563,19.9719013994563,0.06306,23.567,2.5332034,3.37,,17.715134,
9931,欣高 ,油電燃氣類,111462,111462,5.44130167439221,2.10041312094093,2.10041312094093,0.1393,20.43,1.886931,1.42,,27.147888,
9933,中鼎 ,其他類,8771251,8771251,-18.1715221723081,25.7715637355796,25.7715637355796,0.01753,22.002,1.9793653,2.18,3.35,19.977064,13
9934,成霖 ,居家生活類,1564738,1564738,33.341343675196,5.10358298662375,5.10358298662375,0.02631,14.523,1.0982579,1.32,1.6,12.083333,9.96875
9935,慶豐富 ,居家生活類,382438,382438,8.56974146276377,2.04768867874182,2.04768867874182,0.0239,13.352,1.6888855,0.62,1.99,36.370968,11.331657
9937,全國 ,油電燃氣類,2051757,2051757,-0.504471040074485,4.77240707368997,4.77240707368997,0.03121,17.231,3.9579823,2.47,2.56,27.611334,26.640625
9938,百和 ,其他類,1311008,1311008,28.9231589226377,68.2097129931267,68.2097129931267,0.04566,39.234,1.4426262,1.87,4.15,30.267378,13.638554
9939,宏全 ,其他類,2316146,2316146,21.9733581898946,21.4036437667142,21.4036437667142,0.08915,56.098,2.6025884,8.03,9.47,18.181818,15.417107
9940,信義 ,其他類,990458,990458,-9.19219340636773,-51.9955759418087,-51.9955759418087,0.12397,16.84,1.7488124,2.16,,13.634259,
9941,裕融 ,其他類,3574591,3574591,0.843059807199862,12.9845299368984,12.9845299368984,0.162,62.07,2.6502335,11.6,14.7,14.181034,11.190476
9942,茂順 ,其他類,367570,367570,4.7366126509131,21.4898595943838,21.4898595943838,0.19912,45.512,2.9882228,11.49,13.03,11.83638,10.437452
9943,好樂迪 ,觀光餐旅類,224645,224645,-6.88251557519409,-33.97804019303,-33.97804019303,0.28555,31.374,2.8909287,7.79,4.94,11.643132,18.360323
9944,新麗 ,其他類,212101,212101,28.7348717512958,36.5521548227599,36.5521548227599,0.15994,33.661,0.6015864,3.32,,6.0993977,
9945,潤泰新 ,其他類,2900320,2900320,-0.554024408893192,73.5211941727243,73.5211941727243,0.20151,29.999,1.188373,2.35,3.91,15.170214,9.117647
9946,三發地產 ,建材營造類,2517,2517,-98.2619683881259,-86.5895892162608,-86.5895892162608,0.092259996,19.84,1.2172378,0.27,,89.44444,
9955,佳龍 ,綠能環保類,124524,124524,39.5477060313333,49.2663981588032,49.2663981588032,-0.0736,13.007,1.8374721,-0.81,,,
9958,世紀鋼 ,鋼鐵工業類,1298476,1298476,-39.2091851305306,88.4055531695087,88.4055531695087,0.03596,33.587,7.5177894,1.77,9.09,142.65536,27.777777
